instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
2597,0.06751016430474521,0.0675101643047456,0.3545369504209541,0.15384615384615385,0.0007155635062611807,1.0,0.999999999999194,0.75,0.46153846153846156,0.8,1.08740256923719,0.453247275886776,0.495831454057256,0.4751301869499103,0.5120688431496455,0.4926596547764475,0.3835468605337859
2598,0.021535477433900163,0.02153547743390055,0.3545369504209541,0.15384615384615385,0.0007155635062611807,1.0,0.999999999999506,0.75,0.5,1.0,1.2181128763447044,0.5870216895035467,0.4609394988466673,0.43881065123236246,0.6794047662103514,0.4490956002384517,0.5789050142406144
2599,0.794547503568703,0.7945475035687026,0.31016042780748665,0.15384615384615385,0.0004027386226339106,0.0,0.0,0.75,0.6153846153846154,0.2,0.5372952522285086,0.41983800662719806,0.5242924772110289,0.49167414829332984,0.4112360461523494,0.5260218038530863,0.5275493365274027
2600,0.9770627274222116,0.9770627274222112,0.6454630495790459,0.07692307692307693,0.0024164317358034634,1.0,0.999999999999597,0.75,0.38461538461538464,1.0,1.3947474511493034,1.4342461144156788,1.0520854660472783,1.0998992425471104,1.2714192472138222,1.1135169696023082,1.2252374753812534
2601,0.31586645663411705,0.31586645663411744,0.6898395721925134,0.23076923076923078,0.0,0.5,0.5691489361702128,0.75,0.3076923076923077,0.4,0.6197640282947552,0.9174531978613178,0.656767792865732,0.6601128422202333,0.9405123050622964,0.6380027461952371,0.5238411884724514
2602,0.0002361935785994973,0.0002361935785995528,0.34860557768924305,0.15384615384615385,0.0,0.3333333333333333,0.4672897196261683,0.75,0.3076923076923077,0.4,0.6887575633519336,0.33582292911477907,0.09510214001754932,0.13569473071867658,0.43087463695892386,0.0991490734188688,0.2714924112337646
2603,0.5973716499322237,0.5973716499322239,0.37962962962962965,0.15384615384615385,0.0,0.0,0.0,0.75,0.5,0.6,0.7306895190230513,0.8300103154440623,0.625672570946725,0.6027874848606734,0.696804421717862,0.5824398817337455,0.8050406610630131
2604,0.005906646355910761,0.005906646355910983,0.23450586264656614,0.07692307692307693,0.0,0.3333333333333333,0.0,0.75,0.7307692307692307,0.4,0.37972449811999504,0.2607324107140103,0.27566910865197586,0.26276876421205486,0.2995980070364464,0.2828204470949281,0.36864463184521434
2605,0.17734682885566522,0.17734682885566527,0.23450586264656614,0.15384615384615385,0.00035778175313059033,0.16666666666666666,0.0,0.75,0.4230769230769231,0.4,0.558623665307484,0.3879199265087918,0.48453555250198777,0.45805236438202757,0.37769268053037086,0.4859768060881358,0.4236005943792792
2606,0.5935032519948019,0.5935032519948018,0.37962962962962965,0.15384615384615385,0.0,0.0,0.0,0.75,0.46153846153846156,0.6,0.6577509558103907,0.5520049767388396,0.537781902354129,0.5062284612282296,0.5185956628972954,0.5293593071861585,0.35437168821579373
2607,0.8385565388948408,0.8385565388948404,0.48124999999999996,0.07692307692307693,0.0,1.0,0.0,1.0,0.46153846153846156,0.4,0.714569110894959,0.9286303559739427,0.8232285382138209,0.8375274001924576,0.9973962985380668,0.8016973769350599,1.0101786489677733
2608,0.9776878088990432,0.9776878088990433,0.6454630495790459,0.07692307692307693,0.0016109544905356424,1.0,0.999999999999194,0.75,0.38461538461538464,1.0,1.3947474511493034,1.4198112202154385,1.1062576611736104,1.1588087801268336,1.162946061933811,1.1657904695752297,1.2284994194992844
2609,0.40606681954902335,0.4060668195490234,0.51875,0.07692307692307693,0.0,1.0,0.0,1.0,0.38461538461538464,0.6,0.6409245121264207,0.5848916997303422,0.73519123229401,0.7555511344636043,0.6958546255593624,0.7808642069448509,0.5614180218895521
2610,0.2637060775062805,0.2637060775062802,0.6898395721925134,0.15384615384615385,0.0,0.5,0.0,0.75,0.6538461538461539,0.6,0.8336788225906974,1.0854442706831218,0.8517795302963721,0.8928619525555539,1.090530487440368,0.8360056345017471,0.8623064206515556
2611,0.07817237242114339,0.07817237242114317,0.3545369504209541,0.07692307692307693,0.00035778175313059033,0.36666666666666664,0.0,0.75,0.5,0.4,0.678784084123525,0.38762057858794363,0.5220550912108133,0.5028485798733786,0.417048816643584,0.5059554924137852,0.3735519750971232
2612,0.06369020822218696,0.06369020822218746,0.3545369504209541,0.07692307692307693,0.0,0.4166666666666667,0.0,0.75,0.38461538461538464,0.2,0.32312526517975326,0.32035700950743967,0.4066571450124964,0.3814912988672136,0.3967836098595513,0.3900929783551166,0.36759131995938127
2613,0.44378945236897727,0.4437894523689776,0.6898395721925134,0.15384615384615385,0.0017889087656529517,0.8333333333333334,0.0,0.75,0.6153846153846154,0.6,0.8463400939146019,1.404214978106485,1.0840456776331817,1.1610772281315904,1.3689074929465304,1.1245459364551587,1.6169547063981187
2614,0.06690098734705152,0.0669009873470518,0.40563991323210413,0.15384615384615385,0.0,0.0,0.38,0.75,0.5384615384615384,0.2,0.444880308605153,0.525988690403783,0.5275250698790632,0.5084286404027873,0.6081431279970452,0.5463490726856552,0.5797533723333188
2615,0.0027882410691409953,0.0027882410691414394,0.23450586264656614,0.15384615384615385,0.0,0.2,0.0,0.75,0.6153846153846154,0.0,0.39316123782527274,0.28128333269810885,0.25303230716432057,0.24211923397217616,0.2164889179948597,0.24923066855881457,0.3654689232661509
2616,0.0808740784198193,0.08087407841981947,0.48124999999999996,0.15384615384615385,0.0,0.3333333333333333,0.0,1.0,0.46153846153846156,0.4,0.5184951724408833,0.6607107290142317,0.5353084525182091,0.5031550759612258,0.4657366375724708,0.5972487649402666,0.43894545363458565
2617,0.33124404416557895,0.3312440441655788,0.31016042780748665,0.15384615384615385,0.0,0.0,0.0,0.75,0.4230769230769231,0.0,0.35943240889451317,0.2910855726924935,0.2718570377222595,0.25185804234799203,0.23212217104671393,0.2628208274127583,0.12242477201618125
2618,0.1726327231159187,0.17263272311591893,0.51875,0.0,0.0,1.0,0.0,1.0,0.4230769230769231,0.6,0.6698922350796116,0.7479084472967281,0.7672652915660788,0.7924017869603227,0.6324113685304044,0.7936906699773346,0.5348874385752586
2619,0.29095286253905117,0.29095286253905117,0.651394422310757,0.15384615384615385,0.002146690518783542,1.0,0.999999999999506,0.75,0.7692307692307693,0.8,0.9258937339456961,0.9572096373469858,0.9719090566054843,1.0401552840071957,0.9195894149859959,0.9736025227252192,0.7597714925050966
2620,0.16798885882952352,0.1679888588295238,0.6203703703703703,0.15384615384615385,0.0017889087656529517,0.75,0.5,0.75,0.38461538461538464,1.0,0.8842590257353726,0.9055205784866834,0.7666847695086979,0.7907116403296995,0.9734226905700372,0.7824921820391052,0.49057267787570513
2621,0.0015883174039992287,0.0015883174039991732,0.651394422310757,0.15384615384615385,0.0007155635062611807,1.0,0.6200000000000001,0.75,0.23076923076923078,0.6,0.787393966554501,0.6416281724826272,0.2764421507563504,0.2618329367251042,0.4976735610880453,0.2760643229772405,0.4167548363403803
2622,0.7875965280654482,0.7875965280654484,0.31016042780748665,0.15384615384615385,0.0004027386226339106,0.5714285714285714,0.0,0.75,0.5769230769230769,0.6,0.81347073528687,0.5842149755194229,0.7421328205078083,0.7415310435905085,0.48149287381175165,0.742310850204009,0.7583965932780138
2623,0.5973716499322237,0.5973716499322239,0.37962962962962965,0.15384615384615385,0.0,0.5,0.0,0.75,0.5,0.4,0.6296478071799574,0.7187009518696557,0.6060469203648226,0.5840051037082788,0.6267922178441655,0.580282511245718,0.3999753861797139
2624,0.0068575722200613365,0.00685757222006117,0.23450586264656614,0.07692307692307693,0.0,0.0,0.0,0.75,0.3076923076923077,0.4,0.39476142956257193,0.23889386854508982,0.1977728719257976,0.20145069428236154,0.27026168183473565,0.20544993901287567,0.3568116790498316
2625,0.8067491033383396,0.8067491033383393,0.31016042780748665,0.15384615384615385,0.0,1.0,0.0,0.75,0.7692307692307693,0.4,0.6200044887116828,0.37382884656627247,0.5066099653864157,0.47388672135754484,0.3693630389093478,0.4906891698610586,0.703933039174612
2626,0.0727553266342057,0.07275532663420542,0.3545369504209541,0.15384615384615385,0.00035778175313059033,1.0,0.0,0.75,0.5,0.2,0.31420431122239034,0.4118066042735116,0.49355072496979246,0.47242585383467395,0.37293419254377136,0.48992186783879266,0.43357348590547323
2627,0.003948623604145607,0.003948623604145718,0.23450586264656614,0.07692307692307693,0.0,0.0,0.0,0.75,0.6538461538461539,0.4,0.6341834167030171,0.23690387011290057,0.18207330006316372,0.1908106779057804,0.24093508805450564,0.17994907025380197,0.3736771342938639
2628,0.007173940937820866,0.007173940937820922,0.23450586264656614,0.15384615384615385,0.0,1.0,0.0,0.75,0.4230769230769231,0.2,0.3538345085928025,0.3321432064189357,0.37864274229253964,0.3522825168553084,0.3138880806811064,0.35402192294220375,0.38077619313337535
2629,0.022741652955491354,0.02274165295549141,0.3545369504209541,0.15384615384615385,0.00035778175313059033,0.5714285714285714,0.5,0.75,0.46153846153846156,0.8,0.9255767189580147,0.49160950942634446,0.45369684954143774,0.4297546426441223,0.4573477093725825,0.4341449595921299,0.41690789722217136
2630,0.0516016621159886,0.051601662115988545,0.23450586264656614,0.07692307692307693,0.0,0.0,0.33333333333333337,0.75,0.5,0.0,0.39245049743533406,0.31011129907214424,0.29421506855966983,0.27726665113391435,0.3291473736924186,0.30098551131386436,0.27718595281843056
2631,0.004978643344683342,0.004978643344683564,0.23450586264656614,0.15384615384615385,0.0,0.5,0.0,0.75,0.5384615384615384,0.0,0.28488018037990087,0.3089283827267258,0.32610835196424304,0.3053061835076296,0.26950595149665824,0.33867995531945666,0.3451070530818391
2632,0.33119128139563314,0.3311912813956329,0.651394422310757,0.15384615384615385,0.0,0.5,0.0,0.75,0.7692307692307693,0.4,1.1386142739094094,1.0078602697248373,0.8071417081895416,0.8396649600682772,0.9349729230155509,0.8149191063721595,0.8445171912191246
2633,0.3445659483789466,0.3445659483789464,0.5943600867678959,0.23076923076923078,0.0016109544905356424,0.5,0.49110320284697506,0.75,0.5769230769230769,0.8,1.0443341413621234,0.7437501381636589,0.5293772300209809,0.4938835645321535,0.4876584373575617,0.5248402619618177,0.7706254911297711
2634,0.021925068632460132,0.021925068632460187,0.3545369504209541,0.07692307692307693,0.0,0.16666666666666666,0.0,0.75,0.5384615384615384,0.4,0.799471003748588,0.2767548617057022,0.3882748935342757,0.36350109695433136,0.4065697213750853,0.3616738865780225,0.34638953170141396
2635,6.285371420733377e-05,6.285371420688968e-05,0.37962962962962965,0.23076923076923078,0.0004027386226339106,1.0,0.6200000000000001,0.75,0.6538461538461539,0.6,0.9308805810670012,0.4836846728966898,0.3244929090424989,0.29521334714461844,0.4849337454770141,0.29885926497752296,0.3885486484817591
2636,0.22403583632526658,0.22403583632526664,0.37962962962962965,0.23076923076923078,0.0008054772452678212,0.4,0.6200000000000001,0.75,0.5,0.4,0.8484822011354056,0.5379685724531122,0.4765311798487799,0.44151356727530244,0.5177130534003734,0.4580213367260289,0.5007059094070034
2637,0.28094091552215006,0.2809409155221493,0.37962962962962965,0.23076923076923078,0.0008054772452678212,1.0,0.7795404814004376,0.75,0.3076923076923077,0.6,1.076752499888724,0.4799087242300494,0.7900717671078145,0.7978911596328935,0.544583329835966,0.7773223762762247,0.8507483032942349
2638,0.6402418678810902,0.6402418678810898,0.31016042780748665,0.15384615384615385,0.0,0.2857142857142857,0.0,0.75,0.34615384615384615,0.2,0.33987429808816894,0.3624699345991542,0.4481470135176516,0.41151154212134544,0.3554374385476123,0.456011631652486,0.40027944186177655
2639,0.02157992542275544,0.021579925422755608,0.3545369504209541,0.07692307692307693,0.00035778175313059033,0.16666666666666666,0.0,0.75,0.46153846153846156,0.2,0.536005487961281,0.22913759379213802,0.3133365010001693,0.29379173042939627,0.2708540004679405,0.298657893735389,0.28776515724062846
2640,0.9974385018865621,0.9974385018865617,0.5943600867678959,0.15384615384615385,0.0012082158679017317,0.5,0.5,0.75,0.5769230769230769,0.6,1.0582935500968103,1.090637105936689,1.0759815093478164,1.1114240257709236,1.3303887236662193,1.0878001782360522,1.1149936510305225
2641,0.16614992041392218,0.1661499204139219,0.6203703703703703,0.15384615384615385,0.0014311270125223613,1.0,0.999999999999506,0.75,0.4230769230769231,1.0,1.2584756284055723,0.9506066039960751,0.7400523001320073,0.7592775149071525,1.1045132940118456,0.7460361795447641,0.8178595089009401
2642,0.907673701202141,0.907673701202141,0.31016042780748665,0.15384615384615385,0.0,0.25,0.0,0.75,0.4230769230769231,0.2,0.3176665281324514,0.45512237012622103,0.64017269843649,0.6214652487399437,0.38428314948114095,0.6534018860056601,0.5967805143836025
2643,0.0009570131475126198,0.0009570131475125643,0.23450586264656614,0.07692307692307693,0.0007155635062611807,0.21428571428571427,0.0,0.75,0.5384615384615384,0.4,0.4710920296927298,0.1933181004712012,0.186733516614559,0.19639440395807198,0.18841827632825436,0.18994616102196732,0.3693106733438081
2644,0.0,0.0,0.1565934065934066,0.23076923076923078,0.0,0.0,0.3519108280254777,0.75,0.4230769230769231,0.2,0.5084367378279993,0.22465031568888863,0.13756207990051786,0.16044164529011395,0.1858789165219291,0.10892947736351018,0.29897817771255014
2645,0.7726835386114331,0.7726835386114329,0.651394422310757,0.15384615384615385,0.0,0.5,0.5,0.75,0.6153846153846154,0.6,0.41301156987535326,1.0839551547982447,1.2984760787394312,1.3804752971330463,0.9686973506393634,1.298278674658532,1.2606595956985456
2646,0.00035874255562662327,0.00035874255562606816,0.34860557768924305,0.15384615384615385,0.0,0.0,0.26050420168067223,0.75,0.38461538461538464,0.4,0.3494920132132073,0.3153965555898027,0.08641997697462815,0.13213609879982272,0.40689114077891414,0.08367072596745563,0.2552470903778043
2647,0.17217920334355763,0.17217920334355796,0.51875,0.07692307692307693,0.0,0.0,0.0,1.0,0.38461538461538464,0.6,0.46005659070755056,0.6504532477563061,0.7488866626908368,0.7696652216554329,0.49536664317780604,0.7431429494244357,0.47068952598378844
2648,0.12125693441091967,0.12125693441091934,0.6898395721925134,0.15384615384615385,0.0007155635062611807,0.75,0.0,0.75,0.6538461538461539,0.6,0.884797307836912,1.080629557130217,0.8385014344953697,0.8772018181168932,0.8279157448874432,0.8251341522079004,0.8082483283885852
2649,0.00037765617311180666,0.00037765617311275035,0.34860557768924305,0.23076923076923078,0.0,0.0,0.42458432304037996,0.75,0.5769230769230769,0.4,0.5390384808027991,0.304487528840236,0.09318341590118642,0.13400609237656796,0.28037574111069885,0.09776603874316851,0.4045680156845376
2650,0.9952509431331309,0.9952509431331307,0.7654941373534339,0.07692307692307693,0.0012082158679017317,0.4,0.999999999999194,0.75,0.4230769230769231,0.6,1.3066818000039286,1.4648679166299552,1.5616326298750334,1.5807054761047157,1.3041019202507558,1.5044857874999105,1.257017425710776
2651,0.02544070249190089,0.025440702491901,0.3545369504209541,0.15384615384615385,0.0007155635062611807,0.0,0.999999999999194,0.75,0.46153846153846156,0.4,1.1331410373713333,0.5282507686157993,0.5980293223395817,0.5905030004226058,0.4929096140836864,0.5598942635709039,0.4902631633351902
2652,0.20082497085999418,0.20082497085999446,0.3545369504209541,0.07692307692307693,0.0,0.2,0.0,0.75,0.46153846153846156,0.4,0.5517987510249337,0.32278821292310916,0.5012869492004436,0.4794875240074067,0.39116096182491267,0.505572277246498,0.36508023528690425
